,maxiter,accuracy
0,1000,1.0
1,2000,0.9642857142857143
2,3000,0.9642857142857143
3,4000,0.9642857142857143
4,5000,0.9642857142857143
5,6000,0.9642857142857143
6,7000,0.9642857142857143
7,8000,0.9642857142857143
8,9000,0.9642857142857143
9,10000,1.0
