,popsize,accuracy
0,5,0.865814696485623
1,25,0.8945686900958466
2,50,0.8674121405750799
3,100,0.8650159744408946
4,250,0.8506389776357828
5,500,0.8730031948881789
6,1000,0.8506389776357828
