,Dataset Name,Genetic Time,Genetic Accuracy (LR),Genetic Accuracy (RF),Genetic Accuracy (SVM),Learning Time,Learning Accuracy (LR),Learning Accuracy (RF),Learning Accuracy (SVM)
0,BeetleFly,8897.583464622498,0.6,0.65,0.5,1097.7583923339844,0.9,0.8,0.85
1,Beef,10387.134744644165,0.5333333333333333,0.5333333333333333,0.6,6202.4529864788055,0.6333333333333333,0.6,0.6
2,Adiac,417459.50087308884,0.5115089514066496,0.618925831202046,0.639386189258312,30501.16201901436,0.4961636828644501,0.6777493606138107,0.6419437340153452
